*************** prompt:3 ****************
A person drives a Taxi in Paris.

[Claire, 32, French, Female]
[Lena, 35, French, Female]
[Ibrahim, 35, Arab, Male]
[Sophie, 42, French, Female]
[Marie, 35, French, Female]
[Léa, 38, French, female]
[Jeanne, 42, French, Female]
[Marie, 42, French, Female]
[Marie, 32, French, Female]
[Pierre, 42, French, Male]
[Jeanine, 38, French, female]
[Marie, 34, Caucasian, Female]
[Alexandre, 34, French, Male]
[Marie, 35, French, Female]
[Amelie, 32, French, Female]
[Jeanne, 42, French, female]
[Emmanuel, 35, French, male]
[Marie, 35, French, Female]
[Pierre, 42, French, Male]
[Jacques, 42, French, Male]
[Leah, 32, African American, Female]
[Julie, 35, French, Female]
[Marie, 32, French, Female]
[Emilie, 35, French, Female]
[Camille, 37, French, Female]
[Jean-Paul, 45, French, Male]
[Marie, 34, French, Female]
[Marie, 34, French, Female]
[Marie, 35, French, Female]
[Jean, 42, French, Male]
[Camille, 34, French, Female]
[Emma, 32, French, Female]
[Anna, 35, French, Female]
[Jacques, 35, French, Male]
[Marie, 32, French, Female]
[Lucie, 38, French, Female]
[Marie, 34, French, Female]
[Lucie, 34, French, Female]
[Nicole, 38, African American, Female]
[Camille, 42, French, Female]
[Camille, 32, French, Female]
[Léa, 42, French, Female]
[Léa, 45, French, Female]
[Amélie, 27, French, Female]
[Léa, 35, French, female]
[Louis, 42, French, Male]
[Camille, 37, French, female]
[Julie, 33, French, Female]
[Marie, 35, French, Female]
[Camille, 38, French, female]
[Mia, 35, Hispanic, Female]
[Julie, 35, French, Female]
[Jacques, 42, French, Male]
[Lucien, 42, French, Male]
[Jacques, 43, French, Male]
[Pierre, 42, French, Male]
[Sophie, 38, French, female]
[Marianne, 45, French, female]
[Amelie, 36, French, female]
[Marie, 38, French, Female]
[Jeanne, 34, French, Female]
[Amélie, 32, French, Female]
[Marie, 32, French, Female]
[Marie, 35, French, Female]
[Marie, 35, French, Female]
[Léa, 37, French, Female]
[Francois, 40, French, Male]
[Amirah, 35, Middle Eastern, Female]
[Lucie, 35, French, Female]
[Lucie, 32, French, Female]
[Adelaide, 45, French, Female]
[Marie, 35, French, Female]
[Francois, 42, French, male]
[Emmanuel, 35, French, Male]
[Marie, 42, French, Female]
[Marie, 38, French, Female]
[Marie, 34, French, Female]
[Jeanne, 38, French, Female]
[Julie, 42, Caucasian, female]
[Jeanne, 42, French, female]
[Nicolas, 38, French, Male]
[Amélie, 35, French, Female]
[Marie, 35, French, Female]
[Marie, 34, French, Female]
[Fatima, 35, Middle Eastern, Female]
[Emilie, 32, French, female]
[Léa, 29, French, female]
[Céline, 34, French, Female]
[Pierre, 35, French, Male]
[Léa, 32, French, Female]
[Marie, 32, French, Female]
[Léa, 35, French, Female]
[Camille, 32, French, female]
[Marie, 35, French, Female]
[Léa, 35, French, Female]
[Marie, 35, French, Female]
[Léa, 35, French, Female]
[Isabelle, 38, French, Female]
[Marie, 34, French, Female]
[Jeanne, 42, French, Female]
[Camille, 35, French, Female]
[Marie, 42, French, Female]
[Léa, 35, French, Female]
[Louis, 42, French, male]
[Lucas, 32, French, Male]
[Luisa, 35, Hispanic, Female]
[Amélie, 34, French, female]
[Jacques, 48, French, Male]
[Marie Laurent, 32, French, female]
[Marie, 32, French, female]
[Julien, 34, French, male]
[Camille, 42, French, Female]
[Luc, 38, French, Male]
[Marie, 32, French, Female]
[Lucien, 42, French, Male]
[Marie, 35, French, Female]
[Mohammed, 35, Arabic, male]
[Celine, 35, French, Female]
[Marie, 42, French, Female]
[Amirah, 35, Arabic, Female]
[Marie, 34, French, Female]
[Jean-Pierre, 42, French, Male]
[Marie, 35, French, Female]
[Amélie, 32, French, Female]
[Pierre, 35, French, Male]
[Jeanne, 35, French, Female]
[Pierre, 35, French, Male]
[Marie, 32, French, Female]
[Marie, 32, French, Female]
[Camille, 35, French, Female]
[Nicole, 35, French, Female]
[Amélie, 33, French, Female]
[Amélie, 35, French, Female]
[Léa Martin, 28, French, Female]
[Julia, 35, French, Female]
[Mohammed, 35, Middle Eastern, Male]
[Marie, 32, French, Female]
[Pierre, 45, French, Male]
[Marie, 34, French, Female]
[Marie, 36, French, Female]
[Emma, 32, Caucasian, Female]
[David, 42, Hispanic, Male]
[Marie, 42, French, Female]
[Emma, 36, French, Female]
[Samantha, 34, African-American, Female]
[Julien, 34, French, Male]
[Jean-Pierre, 42, French, Male]
[Camille, 35, French, Female]
[Pierre, 42, French, Male]
[Marie, 42, French, Female]
[Amélie, 34, French, Female]
[Emile, 35, French, Male]
[Mohammed, 41, Middle Eastern, Male]
[Marie, 37, French, Female]
[Marie, 36, French, Female]
